id_plt,id_cohort,id_axis,N_phytomer,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
23,7,T4,6,NaN,NaN,606,606,1,660.14,765.17,1000,1319.2
23,8,T5,5,895,2000,705,705,NA,760.14,857.35,1100,1419.2
23,8,T5,5,895,2000,705,705,NA,760.14,857.35,1100,1419.2
23,8,T5,5,893,2000,705,705,NA,760.14,857.35,1100,1419.2
23,8,T5,5,893,2000,705,705,NA,760.14,857.35,1100,1419.2
23,8,T5,5,895,2000,705,705,NA,760.14,857.35,1100,1419.2
24,1,MS,10,NaN,NaN,110,110,1,17.236,187.46,550,869.17
24,5,T2,8,NaN,NaN,408,408,1,455.24,570.33,800,1119.2
24,6,T3,6,1083,2000,506,506,NA,553.24,687.74,950,1269.2
24,7,T4,6,NaN,NaN,606,606,1,655.24,761.84,1000,1319.2
24,7,T4,6,NaN,NaN,606,606,1,655.24,761.84,1000,1319.2
24,8,T5,5,899,2000,705,705,NA,757.24,855.6,1000,1319.2
24,8,T5,5,899,2000,705,705,NA,757.24,855.6,1000,1319.2
24,8,T5,5,901,2000,705,705,NA,757.24,855.6,1000,1319.2
25,1,MS,10,NaN,NaN,110,110,1,-5.9178,164.31,550,869.17
25,4,T1,8,NaN,NaN,308,308,1,354.08,488.91,800,1119.2
25,5,T2,7,NaN,NaN,407,407,1,440.08,578.4,950,1269.2
25,6,T3,7,NaN,NaN,507,507,1,546.08,660.08,1000,1319.2
25,6,T3,7,NaN,NaN,507,507,1,546.08,660.08,1000,1319.2
25,7,T4,6,NaN,NaN,606,606,1,646.08,755.61,1000,1319.2
25,7,T4,6,NaN,NaN,606,606,1,646.08,755.61,1000,1319.2
25,7,T4,6,NaN,NaN,606,606,1,646.08,755.61,1000,1319.2
25,8,T5,5,907,2000,705,705,NA,754.08,853.71,1100,1419.2
25,8,T5,5,907,2000,705,705,NA,754.08,853.71,1100,1419.2
25,8,T5,5,907,2000,705,705,NA,754.08,853.71,1100,1419.2
25,8,T5,5,907,2000,705,705,NA,754.08,853.71,1100,1419.2
25,8,T5,5,905,2000,705,705,NA,754.08,853.71,1100,1419.2
26,1,MS,10,NaN,NaN,110,110,1,9.58,179.8,550,869.17
26,4,T1,8,NaN,NaN,308,308,1,369.58,500.87,800,1119.2
26,5,T2,7,NaN,NaN,407,407,1,447.58,583.9,950,1269.2
26,6,T3,7,NaN,NaN,507,507,1,555.58,667.04,1000,1319.2
26,6,T3,7,NaN,NaN,507,507,1,555.58,667.04,1000,1319.2
26,7,T4,6,NaN,NaN,606,606,1,659.58,764.79,1000,1319.2
26,7,T4,6,NaN,NaN,606,606,1,659.58,764.79,1000,1319.2
26,7,T4,6,NaN,NaN,606,606,1,659.58,764.79,1000,1319.2
26,8,T5,5,911,2000,705,705,NA,753.58,853.41,1100,1419.2
26,8,T5,5,911,2000,705,705,NA,753.58,853.41,1100,1419.2
26,8,T5,5,911,2000,705,705,NA,753.58,853.41,1100,1419.2
26,8,T5,5,913,2000,705,705,NA,753.58,853.41,1100,1419.2
26,8,T5,5,911,2000,705,705,NA,753.58,853.41,1100,1419.2
26,9,T6,5,861,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,863,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,863,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,861,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,861,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,863,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,861,2000,805,805,NA,869.58,928.93,1200,1519.2
26,9,T6,5,863,2000,805,805,NA,869.58,928.93,1200,1519.2
27,1,MS,10,NaN,NaN,110,110,1,13.54,183.76,550,869.17
27,5,T2,8,NaN,NaN,408,408,1,453.54,569.02,800,1119.2
27,6,T3,7,NaN,NaN,507,507,1,571.54,678.75,950,1269.2
27,7,T4,6,NaN,NaN,606,606,1,655.54,762.04,1000,1319.2
27,7,T4,6,NaN,NaN,606,606,1,655.54,762.04,1000,1319.2
27,8,T5,5,889,2000,705,705,NA,771.54,864.19,1000,1319.2
27,8,T5,5,891,2000,705,705,NA,771.54,864.19,1000,1319.2
27,8,T5,5,891,2000,705,705,NA,771.54,864.19,1000,1319.2
28,1,MS,10,NaN,NaN,110,110,1,-14.937,155.29,550,869.17
28,5,T2,8,NaN,NaN,408,408,1,427.06,548.6,800,1119.2
28,6,T3,7,NaN,NaN,507,507,1,543.06,657.86,950,1269.2
28,7,T4,6,1093,2000,606,606,NA,633.06,746.76,1000,1319.2
28,7,T4,6,1093,2000,606,606,NA,633.06,746.76,1000,1319.2
28,8,T5,5,971,2000,705,705,NA,737.06,843.5,1000,1319.2
28,8,T5,5,973,2000,705,705,NA,737.06,843.5,1000,1319.2
28,8,T5,5,971,2000,705,705,NA,737.06,843.5,1000,1319.2
29,1,MS,10,NaN,NaN,110,110,1,-13.41,156.81,550,869.17
29,4,T1,8,NaN,NaN,308,308,1,342.59,480.05,800,1119.2
29,5,T2,7,NaN,NaN,407,407,1,438.59,577.3,950,1269.2
